"","u0","u1","s","xi"
"83",621.931230697031,-92.0265266508634,120.662889545664,0.575972437852635
"84",571.884763400979,10.6645931213272,149.23313856547,0.459862808856717
"85",631.181927488568,-239.999528816728,95.9155855960101,0.440542421951985
"86",619.048152623203,-95.2752981130675,124.553015509647,0.651362110200189
"87",653.694695203367,-132.083729534016,153.133387930062,0.390900002905325
"88",597.092864480907,-106.94999036666,124.144120860564,0.970681765859518
"89",563.156487629287,-76.1196970704172,88.9670160234238,0.704025925048815
"90",656.9281202618,-131.258386379152,155.27921876073,0.697415085732274
"91",603.056853237939,-150.531463154889,100.317970920094,0.528411502514877
"92",620.602461068717,-34.3896663095106,184.462605332567,0.672251216663586
"93",564.906598458634,-112.256180625189,84.6404265051841,0.965060287869253
"94",611.684318558042,-100.255199036379,108.43287111265,0.443093495703433
